Run Time(milliseconds) - ASTAR vs BestFS Comparison
Trial Number, ASTAR(time, outcome), BestFS(time, outcome)
0,1072.741199997836,Success,99.465599996620,Success
1,93.032399992808,Success,58.525699991151,Success
2,133376.390099991113,Failed,317.645499992068,Success
3,3301.296000005095,Success,165.775999994366,Success
4,447.162800002843,Success,192.665800001123,Success
5,6955.688200003351,Success,32.029499998316,Success
6,6112.606800001231,Success,81.704299998819,Success
7,2765.114600013476,Success,241.532600004575,Success
8,1292.791800005944,Success,70.737000001827,Success
9,4957.727300003171,Success,11.487700001453,Success
