ASTAR Search Stats
Board Number, Queue Size, Visted List Size, Time(milliseconds)
0,1,1,0.004700006684
1,4,2,0.166600017110
2,5,3,0.218800007133
3,5,4,0.253300007898
4,6,5,0.311800016789
5,6,6,0.344500003848
6,7,7,0.386800005799
7,7,8,0.418900017394
8,7,9,0.472100015031
9,7,10,0.509500008775
10,8,11,0.566400005482
11,8,12,0.615200027823
12,9,13,0.674900016747
13,10,14,0.725900026737
14,11,15,0.787800003309
15,12,16,0.847100018291
16,13,17,1.083600014681
17,13,18,1.130000018748
18,14,19,1.186400011647
19,16,20,1.253400027053
20,17,21,1.310100022238
21,17,22,1.356100023258
22,19,23,1.426500006346
23,19,24,1.485000015236
24,19,25,1.528900000267
25,21,26,1.612800027942
26,22,27,1.702000008663
27,22,28,1.757700025337
28,23,29,1.833000016632
29,23,30,1.887900027214
30,25,31,1.995400001761
31,26,32,2.080000005662
32,26,33,2.138500014553
33,27,34,2.234300016426
34,27,35,2.299800020410
35,28,36,2.392599999439
36,29,37,2.481100003934
37,31,38,2.582300017821
38,32,39,2.679299999727
39,33,40,2.770400024019
40,33,41,2.836100000422
41,35,42,2.960000012536
42,36,43,3.062300005695
43,36,44,3.146300005028
44,36,45,3.216400014935
45,36,46,3.282500023488
46,36,47,3.347200021381
47,36,48,3.424700000323
48,36,49,3.502500010654
49,36,50,3.590600012103
50,38,51,3.711000026669
51,39,52,3.813700022874
52,39,53,3.901900025085
53,39,54,3.977200016379
54,39,55,4.056500009028
55,41,56,4.190400009975
56,41,57,4.302100016503
57,41,58,4.389600013383
58,41,59,4.474900022615
59,41,60,4.566100018565
60,41,61,4.665400017984
61,41,62,4.763200005982
62,42,63,4.889100004220
63,42,64,4.999100026907
64,43,65,5.116700020153
65,43,66,5.220400023973
66,42,67,5.319300020346
67,43,68,5.440900014946
68,43,69,5.543100007344
69,44,70,5.689800018445
70,44,71,5.798800004413
71,46,72,5.976900021778
72,47,73,6.126899999799
73,47,74,6.233200023416
74,47,75,6.341600004816
75,48,76,6.482800003141
76,50,77,6.689300003927
77,51,78,6.860500026960
78,51,79,6.977300014114
79,52,80,7.140500005335
80,52,81,7.263400009833
81,53,82,7.418000022881
82,53,83,7.549200003268
83,53,84,7.678599999053
84,53,85,7.795200013788
85,54,86,7.948600017698
86,54,87,8.080700004939
87,55,88,8.231100015109
88,56,89,8.378200000152
89,57,90,8.545400021831
90,57,91,8.689100010088
91,58,92,8.835400018143
92,58,93,9.003200015286
93,59,94,9.157100023003
94,60,95,9.330500004580
95,61,96,9.496900020167
96,62,97,9.684200020274
97,64,98,9.930200001691
98,65,99,10.117100027855
99,65,100,10.258400026942
100,66,101,10.444000014104
101,67,102,10.629600001266
102,68,103,10.805000027176
103,67,104,10.947500006296
104,68,105,11.134900007164
105,69,106,11.327800020808
106,70,107,11.522900022101
107,71,108,11.713600018993
108,72,109,11.897200020030
109,74,110,12.136100005591
110,75,111,12.327700009337
111,75,112,12.480300007155
112,76,113,12.685600027908
113,76,114,12.846400000853
114,77,115,13.048000022536
115,77,116,13.212600024417
116,78,117,13.424000004306
117,78,118,13.618500001030
118,79,119,13.805700000376
119,80,120,14.004299999215
120,82,121,14.281100011431
121,83,122,14.501100027701
122,83,123,14.661400025943
123,84,124,14.900000009220
124,85,125,15.256900020177
125,87,126,15.643999999156
126,88,127,15.881300001638
127,88,128,16.336600005161
128,89,129,16.612300009001
129,89,130,16.793700022390
130,90,131,17.031700001098
131,90,132,17.218700028025
132,90,133,17.392700014170
133,90,134,17.610200011404
134,91,135,17.838200001279
135,92,136,18.105300026946
136,92,137,18.300000025192
137,93,138,18.585600017104
138,93,139,18.776000011712
139,94,140,19.026800000574
140,94,141,19.237500004238
141,94,142,19.495700020343
142,94,143,19.759700022405
143,95,144,20.017800008645
144,95,145,20.206700020935
145,96,146,20.450500014704
146,97,147,20.760000013979
147,98,148,21.424900012789
148,99,149,22.370800026692
149,99,150,23.694000003161
150,98,151,24.266600026749
151,99,152,25.007600022946
152,100,153,26.095300010638
153,100,154,26.838200021302
154,101,155,27.520600007847
155,103,156,28.472000005422
156,104,157,28.987800003961
Max Queue Size: 104
