Best First Search Stats
Board Number, Queue Size, Visted List Size, Time(milliseconds)
0,1,1,0.002599990694
1,2,2,0.101800003904
2,3,3,0.164099998074
3,3,4,0.210099999094
4,4,5,0.271099997917
5,4,6,0.321100000292
6,6,7,0.404999998864
7,7,8,0.476699991850
8,7,9,0.531700003194
9,7,10,0.593099990510
10,9,11,0.688600004651
11,10,12,0.773299994762
12,11,13,0.860899992404
13,11,14,0.929699992412
14,12,15,1.029799997923
15,12,16,1.168000002508
16,13,17,1.268299994990
17,15,18,1.405499991961
18,15,19,1.466799993068
19,16,20,1.544099999592
20,16,21,1.603099997737
21,17,22,1.689800003078
22,17,23,1.761199993780
23,18,24,1.856200004113
24,18,25,1.927399993292
25,19,26,2.021099993726
26,21,27,2.156999995350
27,22,28,2.254899998661
28,22,29,2.327900001546
29,22,30,2.406200001133
30,23,31,2.513600004022
31,24,32,2.614500001073
32,25,33,3.029500003322
33,27,34,3.189099996234
34,28,35,3.303099991172
35,28,36,3.387599994312
36,29,37,3.505699991365
37,30,38,3.615499997977
38,30,39,3.704899994773
39,30,40,3.802299994277
40,30,41,3.888599996571
41,30,42,3.986700001406
42,31,43,4.125299994485
43,31,44,4.227199999150
44,32,45,4.358499994851
45,32,46,4.458299998078
46,33,47,4.606499991496
47,33,48,4.711799992947
48,34,49,4.892999990261
49,36,50,5.134999999427
50,37,51,5.323399993358
51,37,52,5.464200003189
52,38,53,5.666400000337
53,38,54,5.821500002639
54,39,55,6.013099991833
55,40,56,6.221299991012
56,42,57,6.477799994173
57,43,58,6.702799990308
58,43,59,6.881299996166
59,43,60,7.049499996356
60,44,61,7.280299992999
61,46,62,7.572499991511
62,47,63,7.820099999662
Max Queue Size: 47
