Depth First Search Stats
Board Number, Stack Size, Visted List Size, Time(milliseconds)
0,1,1,0.000200001523
1,2,2,0.034700002288
2,3,3,0.056700009736
3,3,4,0.072499999078
4,4,5,0.091300011263
5,6,6,0.115500006359
6,7,7,0.137700000778
7,7,8,0.155200003064
8,8,9,0.177100009751
9,10,10,0.208199999179
10,11,11,0.236400010181
11,11,12,0.258900006884
12,12,13,0.286500013317
13,13,14,0.323800006299
14,14,15,0.356700009434
15,14,16,0.383400009014
16,15,17,0.422700002673
17,15,18,0.452200009022
18,16,19,0.487199999043
19,18,20,0.533700003871
20,19,21,0.574800011236
21,19,22,0.606700006756
22,20,23,0.645600011921
23,22,24,0.700100004906
24,23,25,0.748000005842
25,23,26,0.785399999586
26,24,27,0.832000005175
27,25,28,0.888800001121
28,26,29,0.939300007303
29,26,30,0.982199999271
30,27,31,1.039800001308
31,27,32,1.085300013074
32,28,33,1.138800012995
33,30,34,1.217200013343
34,31,35,1.279300005990
35,31,36,1.328000013018
36,32,37,1.385700001265
37,34,38,1.465400011512
38,35,39,1.535800009151
39,35,40,1.589899999090
40,36,41,1.654899999266
41,37,42,1.738700011629
42,37,43,1.794700001483
43,37,44,1.841200006311
44,38,45,1.889400009532
45,38,46,1.923200004967
46,39,47,1.966499999980
47,39,48,1.999600004638
48,40,49,2.045800007181
49,40,50,2.082000006340
50,41,51,2.131200002623
51,43,52,2.193700012867
52,44,53,2.244800009066
53,44,54,2.284900008817
54,45,55,2.341200000956
55,45,56,2.383900005952
56,46,57,2.441600008751
57,48,58,2.512999999453
58,49,59,2.571200006059
59,49,60,2.617700010887
60,50,61,2.681300000404
61,50,62,2.730500011239
62,51,63,2.795799999149
63,53,64,2.879100007704
64,54,65,2.951600006782
65,54,66,3.004700003657
66,55,67,3.076400011196
67,55,68,3.131600009510
68,56,69,3.209100003005
69,58,70,3.303500008769
70,59,71,3.377800007001
71,59,72,3.437400009716
72,60,73,3.518100013025
73,60,74,3.580500007956
74,61,75,3.661599999759
75,62,76,3.753700002562
76,63,77,3.840500008664
77,63,78,3.906500001904
78,64,79,3.989600008936
79,66,80,4.098800010979
80,67,81,4.192799999146
81,67,82,4.263800001354
82,68,83,4.353900003480
83,69,84,4.472700005863
84,70,85,4.568100004690
85,70,86,4.643400010536
86,71,87,4.746500009787
87,71,88,4.825500000152
88,72,89,4.923100001179
89,74,90,5.049800005509
90,75,91,5.161000008229
91,75,92,5.251400012639
92,76,93,5.359400005545
93,78,94,5.500600003870
94,79,95,5.620800002362
95,79,96,5.713000005926
96,80,97,5.825600004755
97,81,98,5.969200006803
98,82,99,6.088800000725
99,82,100,6.209900006070
100,82,101,6.332700009807
101,82,102,6.442199999583
102,83,103,6.572900005267
103,85,104,6.743000005372
104,86,105,6.887600000482
105,86,106,6.998500000918
106,87,107,7.134400002542
107,88,108,7.292200010852
108,89,109,7.432600003085
109,89,110,7.548699999461
110,90,111,7.707299999311
111,90,112,7.825700013200
112,91,113,7.964200005517
113,93,114,8.146600011969
114,94,115,8.328900003107
115,94,116,8.445100000245
116,95,117,8.613900005003
117,97,118,8.799800009001
118,98,119,8.989900001325
119,98,120,9.123100011493
120,99,121,9.277800010750
121,100,122,9.468400006881
122,101,123,9.626600003685
123,101,124,9.749800010468
124,101,125,9.895200011670
125,101,126,10.021599999163
126,102,127,10.173600006965
127,104,128,10.372500008089
128,105,129,10.545100012678
129,105,130,10.678800012101
130,106,131,10.834200002137
131,107,132,11.009500012733
132,108,133,11.175800013007
133,108,134,11.337400006596
134,109,135,11.506800001371
135,109,136,11.648900006549
136,110,137,11.850700000650
137,112,138,12.066800001776
138,113,139,12.253699998837
139,113,140,12.404200009769
140,114,141,12.617000000319
141,116,142,12.864400006947
142,117,143,13.073699999950
143,117,144,13.230900003691
144,118,145,13.422400006675
145,119,146,13.667300008819
146,120,147,13.862500010873
147,120,148,14.029000012670
148,120,149,14.208000007784
149,120,150,14.366000003065
150,121,151,14.558100010618
151,123,152,14.814500013017
152,124,153,15.037100005429
153,124,154,15.199000001303
154,125,155,15.398600007757
155,126,156,15.623400002369
156,127,157,15.834700010600
157,127,158,16.002000003937
158,128,159,16.220400008024
159,128,160,16.387300012866
160,129,161,16.591600011452
161,131,162,16.911600003368
162,132,163,17.177600006107
163,132,164,17.338900011964
164,133,165,17.535800012411
165,135,166,17.790199999581
166,136,167,18.014300003415
167,136,168,18.185000008089
168,137,169,18.390000012005
169,138,170,18.670900011784
170,139,171,18.902000010712
171,139,172,19.095300012850
172,139,173,19.300200001453
173,139,174,19.483500000206
174,140,175,19.701900004293
175,142,176,19.990400003735
176,143,177,20.234000010532
177,143,178,20.422100002179
178,144,179,20.649000012781
179,145,180,20.902800009935
180,146,181,21.139700009371
181,146,182,21.330000003218
182,147,183,21.587300012470
183,147,184,21.777800007840
184,148,185,22.012100002030
185,150,186,22.328000006382
186,151,187,22.595500005991
187,151,188,22.791900002630
188,152,189,23.021400003927
189,154,190,23.320400010562
190,155,191,23.578000007547
191,155,192,23.775000008754
192,156,193,24.013400005060
193,157,194,24.327300008736
194,158,195,24.587000007159
195,157,196,24.746900002356
196,157,197,24.913800007198
197,158,198,25.168100008159
198,158,199,25.313000005553
199,159,200,25.482100012596
200,159,201,25.608800002374
201,160,202,25.781900010770
202,160,203,25.912600001902
203,161,204,26.087200007169
204,163,205,26.308500004234
205,164,206,26.484200003324
206,164,207,26.617300012731
207,165,208,26.806599998963
208,165,209,26.938700000755
209,166,210,27.115200005937
210,168,211,27.329200005624
211,169,212,27.501900010975
212,169,213,27.635400008876
213,170,214,27.812600004836
214,170,215,27.944800007390
215,171,216,28.120300004957
216,173,217,28.340800010483
217,174,218,28.518900013296
218,174,219,28.655300004175
219,175,220,28.847300010966
220,175,221,28.992000006838
221,176,222,29.181900012190
222,178,223,29.422700012219
223,179,224,29.617300009704
224,179,225,29.767800006084
225,180,226,29.969600000186
226,180,227,30.123100004857
227,181,228,30.325700005051
228,182,229,30.576100005419
229,183,230,30.788800009759
230,183,231,30.941100005293
231,184,232,31.140900013270
232,186,233,31.394600009662
233,187,234,31.602500006557
234,187,235,31.760000012582
235,188,236,31.964200010407
236,189,237,32.210100005614
237,190,238,32.418000002508
238,190,239,32.577900012257
239,191,240,32.795400009491
240,191,241,32.956100010779
241,192,242,33.176500000991
242,194,243,33.491200010758
243,195,244,33.738600002835
244,195,245,33.919300010893
245,196,246,34.158900001785
246,198,247,34.488000004785
247,199,248,34.785000010743
248,199,249,35.009700004593
249,200,250,35.298900009366
250,201,251,35.661400004756
251,202,252,35.956899999292
252,202,253,36.185300006764
253,202,254,36.471600004006
254,202,255,36.700800003018
255,203,256,36.990100008552
256,205,257,37.348500001826
257,206,258,37.640599999577
258,206,259,37.872300003073
259,207,260,38.151600005222
260,208,261,38.473700013128
261,209,262,38.745300000301
262,209,263,38.953800001764
263,210,264,39.284000013140
264,210,265,39.510100003099
265,211,266,39.778200007277
266,213,267,40.122800011886
267,214,268,40.439300006256
268,214,269,40.667000008398
269,215,270,40.953300005640
270,217,271,41.320500007714
271,218,272,41.641900010291
272,218,273,41.871200010064
273,219,274,42.167899999185
274,220,275,42.540100010228
275,221,276,42.837300003157
276,221,277,43.076600006316
277,221,278,43.363300006604
